"District","ID","Democrat","Republican","Other party","White","Black","Asian","Other","Latino","Name code","Population","Lat","Lng","Link"
1,01,0.3071969166,0.4401405385,0.2526625449,0.821042884,0.0123640448,0.0174721445,0.0510424124,0.0980785143,MTCAP,466514,40.82080665,-121.3737502,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#40.8208066508,-121.373750154,9,stateAssembly,40.8208066508,-121.373750154,current"
2,02,0.466206421,0.258480719,0.27531286,0.714696032,0.0119658009,0.0280381697,0.0657137185,0.1795862789,DMNDO,463404,40.23624432,-123.4649311,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#40.2362443185,-123.464931132,9,stateAssembly,40.2362443185,-123.464931132,current"
3,03,0.3379245137,0.4180565215,0.2440189648,0.6500875298,0.0160325641,0.0625950194,0.0493024267,0.2219824599,YUBA,468983,39.71437415,-122.0761946,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#39.7143741473,-122.076194566,9,stateAssembly,39.7143741473,-122.076194566,current"
4,04,0.4681908294,0.2711833268,0.2606258438,0.5778938002,0.0170245613,0.07565209,0.0368215101,0.2926080384,NAPA,466385,38.80918467,-122.3174798,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#38.8091846712,-122.317479803,9,stateAssembly,38.8091846712,-122.317479803,current"
5,05,0.3309812124,0.4334874813,0.2355313063,0.669549011,0.0178987537,0.016121404,0.0381493103,0.258281521,FTHLL,463049,37.99120425,-119.8067914,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.9912042533,-119.80679136,9,stateAssembly,37.9912042533,-119.80679136,current"
6,06,0.2891932337,0.4896251255,0.2211816408,0.7447429197,0.0211562698,0.0744126635,0.0399561563,0.1197319907,NSAC,468939,38.80135748,-121.21997,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#38.8013574778,-121.219970049,9,stateAssembly,38.8013574778,-121.219970049,current"
7,07,0.480265609,0.2701930287,0.2495413623,0.4330791928,0.101277164,0.1438672439,0.0525058689,0.2692705305,WSAC,464310,38.62995541,-121.4886886,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#38.6299554094,-121.488688596,9,stateAssembly,38.6299554094,-121.488688596,current"
8,08,0.4063444362,0.3825412903,0.2111142735,0.6119114308,0.0742777178,0.0852809456,0.051702018,0.1768278878,ESAC,463773,38.48247879,-121.2055859,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#38.4824787923,-121.20558591,9,stateAssembly,38.4824787923,-121.20558591,current"
9,09,0.4619608028,0.3299497653,0.2080894319,0.3441043132,0.119185848,0.2222824602,0.0511384981,0.2632888805,SACEG,468512,38.32632132,-121.3922726,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#38.326321322,-121.39227258,9,stateAssembly,38.326321322,-121.39227258,current"
10,10,0.5409742698,0.1999139872,0.2591117431,0.6867140373,0.0211386128,0.0494515166,0.035143722,0.2075521113,MARIN,465830,38.15196511,-122.6879877,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#38.151965105,-122.687987739,9,stateAssembly,38.151965105,-122.687987739,current"
11,11,0.4821174319,0.2832074529,0.2346751153,0.4409875243,0.1231278882,0.1045213347,0.0558367917,0.2755264612,ECC,466986,38.14505431,-121.8071467,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#38.1450543145,-121.807146737,9,stateAssembly,38.1450543145,-121.807146737,current"
12,12,0.3825908406,0.4167730112,0.2006361482,0.5321526487,0.0268729183,0.0608251799,0.0363993884,0.3437498647,STNSJ,461766,37.83931595,-120.9332713,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.8393159547,-120.933271316,9,stateAssembly,37.8393159547,-120.933271316,current"
13,13,0.4767017805,0.3410645637,0.1822336558,0.2786873176,0.092625798,0.1788155193,0.0418626508,0.4080087143,STKTN,461772,37.88611408,-121.4172934,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.8861140834,-121.417293358,9,stateAssembly,37.8861140834,-121.417293358,current"
14,14,0.5194456919,0.2340668506,0.2464874575,0.4485142916,0.0970380081,0.1529234355,0.0473880149,0.2541362499,PTANT,466848,37.95965689,-121.9927238,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.9596568916,-121.99272376,9,stateAssembly,37.9596568916,-121.99272376,current"
15,15,0.6479684318,0.0897515273,0.2622800409,0.3939984312,0.1559265385,0.1838603925,0.0491299047,0.217084733,WCC,469144,37.92281372,-122.2927618,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.9228137164,-122.292761779,9,stateAssembly,37.9228137164,-122.292761779,current"
16,16,0.4012884826,0.3461951204,0.2525163971,0.6443829207,0.0239341553,0.181006342,0.0411636567,0.1095129253,EALAM,465945,37.71346869,-121.8076409,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.7134686938,-121.807640899,9,stateAssembly,37.7134686938,-121.807640899,current"
17,17,0.5921952199,0.0730699025,0.3347348776,0.4129060687,0.0774543798,0.2829576835,0.0381197046,0.1885621635,ESF,467501,37.75521593,-122.4105671,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.7552159328,-122.410567148,9,stateAssembly,37.7552159328,-122.410567148,current"
18,18,0.635964413,0.1053380502,0.2586975368,0.2396495374,0.2258418234,0.2294081952,0.0421044787,0.2629959652,OKLND,469665,37.7610402,-122.1950862,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.7610402025,-122.195086155,9,stateAssembly,37.7610402025,-122.195086155,current"
19,19,0.5295873817,0.126664788,0.3437478303,0.3514270994,0.0311971558,0.4420384508,0.0368645073,0.1384727867,WSFDC,467767,37.72877135,-122.4685149,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.7287713469,-122.468514902,9,stateAssembly,37.7287713469,-122.468514902,current"
20,20,0.5459732366,0.1783196902,0.2757070732,0.2582462361,0.0820982222,0.3246019395,0.0473641089,0.2876894933,HYWRD,461362,37.61323554,-121.9522216,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.6132355371,-121.952221649,9,stateAssembly,37.6132355371,-121.952221649,current"
21,21,0.4816656736,0.3315476463,0.1867866801,0.3356160078,0.032067999,0.0626380606,0.0271536372,0.5425242954,MRCED,461301,37.2648458,-120.8577637,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.2648457961,-120.857763665,9,stateAssembly,37.2648457961,-120.857763665,current"
22,22,0.5124174788,0.2152646202,0.2723179011,0.4800382077,0.0179584815,0.226480008,0.0419506671,0.2335726357,NSNMT,462734,37.56424324,-122.366246,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.5642432393,-122.366246027,9,stateAssembly,37.5642432393,-122.366246027,current"
23,23,0.3494943448,0.464022393,0.1864832622,0.4860194154,0.0503540267,0.10653481,0.0351741299,0.321917618,FRSNO,468185,36.88636009,-119.0121589,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#36.8863600911,-119.012158944,9,stateAssembly,36.8863600911,-119.012158944,current"
24,24,0.4812054176,0.2226546275,0.2961399549,0.4739764829,0.0270103896,0.2607108496,0.0377659013,0.2005363765,SSNMT,464599,37.35719907,-122.2587658,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.3571990732,-122.258765821,9,stateAssembly,37.3571990732,-122.258765821,current"
25,25,0.459106417,0.2031885096,0.3377050734,0.2420762089,0.028000503,0.4960516559,0.0372176424,0.1966539898,MLPTS,461206,37.35309933,-121.6848215,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.3530993323,-121.684821478,9,stateAssembly,37.3530993323,-121.684821478,current"
26,26,0.3429074858,0.4543281835,0.2027643307,0.3518608321,0.0119340829,0.0314718631,0.0278858956,0.5768473263,TLRE,470166,36.35488184,-117.8400914,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#36.3548818382,-117.840091402,9,stateAssembly,36.3548818382,-117.840091402,current"
27,27,0.4961568001,0.2000338661,0.3038093337,0.1572129463,0.029866215,0.3253803574,0.0247272696,0.4628132117,SANJO,464103,37.30811473,-121.8167201,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.3081147325,-121.816720054,9,stateAssembly,37.3081147325,-121.816720054,current"
28,28,0.4352079163,0.2703940107,0.294398073,0.5040228282,0.0215366131,0.261713403,0.0386277328,0.1740994229,SILIV,466090,37.25292597,-121.9904942,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.2529259723,-121.990494226,9,stateAssembly,37.2529259723,-121.990494226,current"
29,29,0.4965706447,0.2359551433,0.267474212,0.6086934123,0.0223259708,0.093481014,0.0406916092,0.2348079936,WMONT,465870,36.93480851,-121.8906726,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#36.9348085085,-121.890672601,9,stateAssembly,36.9348085085,-121.890672601,current"
30,30,0.5453047179,0.2509463008,0.2037489813,0.2505054455,0.0165266173,0.0490448638,0.0209397311,0.6629833423,MONT,465431,36.36779188,-121.1772076,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#36.3677918758,-121.177207634,9,stateAssembly,36.3677918758,-121.177207634,current"
31,31,0.4999072232,0.3299656406,0.1701271363,0.1728145388,0.0458159376,0.0814880463,0.0184574974,0.68142398,FSEC2,468265,36.49606693,-120.2283092,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#36.4960669347,-120.228309239,9,stateAssembly,36.4960669347,-120.228309239,current"
32,32,0.4746785813,0.3387924134,0.1865290053,0.1950026775,0.0618078612,0.032607904,0.0217114705,0.6888700868,KINGS,466850,35.76298159,-119.6135934,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#35.7629815897,-119.613593448,9,stateAssembly,35.7629815897,-119.613593448,current"
33,33,0.3384026771,0.4200805695,0.2415167533,0.4549253337,0.091317059,0.0286412608,0.0363209799,0.3887953666,MISBK,469288,34.9098693,-116.1218334,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.9098692993,-116.121833399,9,stateAssembly,34.9098692993,-116.121833399,current"
34,34,0.2915949553,0.5024452407,0.205959804,0.5405008784,0.0478640901,0.0493423026,0.0335682763,0.3287244526,BKRFD,466780,35.27078533,-118.618588,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#35.2707853309,-118.618587964,9,stateAssembly,35.2707853309,-118.618587964,current"
35,35,0.3516206726,0.4031081272,0.2452712002,0.5567731002,0.0206576025,0.0362438855,0.029199673,0.3571257388,SLOSB,467334,35.27152748,-120.3737865,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#35.2715274763,-120.373786531,9,stateAssembly,35.2715274763,-120.373786531,current"
36,36,0.3697252557,0.4053189759,0.2249557684,0.3766818274,0.1340170785,0.0399535243,0.0333341972,0.4160133726,LAAVV,463038,34.76668357,-118.0772516,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.7666835673,-118.077251586,9,stateAssembly,34.7666835673,-118.077251586,current"
37,37,0.4559897835,0.295844299,0.2481659175,0.5383397683,0.0127005577,0.0429021879,0.026973402,0.3790840841,SBWVE,466200,34.55083874,-119.5407115,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.5508387369,-119.540711468,9,stateAssembly,34.5508387369,-119.540711468,current"
38,38,0.3468118009,0.4166690097,0.2365191894,0.5562342115,0.0317291751,0.1212621014,0.0330550371,0.2577194748,LASCV,469883,34.42655007,-118.5923442,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.4265500735,-118.592344248,9,stateAssembly,34.4265500735,-118.592344248,current"
39,39,0.5405499339,0.1982029719,0.2612470942,0.2030778994,0.0312828297,0.0635990584,0.0172997843,0.6847404282,LASFE,466422,34.30814874,-118.3805334,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.3081487376,-118.380533416,9,stateAssembly,34.3081487376,-118.380533416,current"
40,40,0.3794911739,0.400998204,0.219510622,0.3556965857,0.1047722014,0.0847298203,0.0313836573,0.4234177352,SBCUC,462470,34.19714929,-117.4236143,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.1971492915,-117.423614339,9,stateAssembly,34.1971492915,-117.423614339,current"
41,41,0.4303448904,0.3381503438,0.2315047658,0.4610654541,0.0801436519,0.1186598257,0.0328319355,0.3072991328,LASGF,462507,34.24429566,-117.8953652,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.2442956648,-117.895365179,9,stateAssembly,34.2442956648,-117.895365179,current"
42,42,0.339131913,0.447699456,0.213168631,0.595567143,0.0382847466,0.0352131538,0.0317700323,0.2991649242,BBCOH,462952,34.0399648,-116.4445275,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.0399648017,-116.444527509,9,stateAssembly,34.0399648017,-116.444527509,current"
43,43,0.4468540853,0.269541585,0.2836043297,0.5591666204,0.0194980423,0.1552285837,0.032877461,0.2332292925,LAGBP,468406,34.250155,-118.2438018,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.2501549988,-118.243801791,9,stateAssembly,34.2501549988,-118.243801791,current"
44,44,0.3935511377,0.3722248839,0.2342239784,0.453022145,0.0179072449,0.0778612545,0.025744639,0.4254647166,EVENT,462271,34.18121623,-118.9733734,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.1812162281,-118.973373365,9,stateAssembly,34.1812162281,-118.973373365,current"
45,45,0.4807903403,0.2693484858,0.2498611739,0.4986189676,0.0404155069,0.1219904824,0.0351671562,0.3038078868,LAVSF,467766,34.18452615,-118.5899501,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.1845261517,-118.589950081,9,stateAssembly,34.1845261517,-118.589950081,current"
46,46,0.5390298405,0.1882046527,0.2727655068,0.3997515293,0.0430000797,0.0872123693,0.0261647873,0.4438712345,LASFW,464441,34.17770975,-118.4336791,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.1777097479,-118.433679082,9,stateAssembly,34.1777097479,-118.433679082,current"
47,47,0.4963189651,0.2890202116,0.2146608234,0.1427857533,0.1052424525,0.0459663546,0.0186366178,0.6873688217,RLTFO,470257,34.10763694,-117.3949548,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.1076369431,-117.394954768,9,stateAssembly,34.1076369431,-117.394954768,current"
48,48,0.4683164004,0.2957953823,0.2358882174,0.1939693852,0.0247124718,0.1247176739,0.0162329358,0.6403675333,LACVN,461346,34.11214557,-117.9174173,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.1121455737,-117.917417279,9,stateAssembly,34.1121455737,-117.917417279,current"
49,49,0.413665503,0.2578244625,0.3285100345,0.1250213493,0.0078327514,0.5273346377,0.0151315007,0.3246797609,LAWSG,462545,34.0914753,-118.0828745,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.0914753007,-118.082874543,9,stateAssembly,34.0914753007,-118.082874543,current"
50,50,0.5302398367,0.1904362756,0.2793238877,0.7124910647,0.0367983695,0.0934734325,0.037223858,0.1200132752,LAMWS,470048,34.08210827,-118.6431206,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.0821082743,-118.643120571,9,stateAssembly,34.0821082743,-118.643120571,current"
51,51,0.6071009966,0.1328674858,0.2600315176,0.1090535024,0.0220555232,0.1388724839,0.01405798,0.7159605105,LAELA,465643,34.08325855,-118.2075213,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.0832585456,-118.207521315,9,stateAssembly,34.0832585456,-118.207521315,current"
52,52,0.4802614072,0.2971526175,0.2225859754,0.1722348919,0.0571983216,0.072301032,0.0175078058,0.6807579486,POMVL,465678,34.03389235,-117.6498801,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.0338923457,-117.649880062,9,stateAssembly,34.0338923457,-117.649880062,current"
53,53,0.6017959641,0.1281240508,0.270079985,0.0723342157,0.0509251675,0.1801123479,0.0134097552,0.6832185137,LADNT,463916,34.03259333,-118.2462368,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.0325933288,-118.246236779,9,stateAssembly,34.0325933288,-118.246236779,current"
54,54,0.642997363,0.1188075749,0.2381950621,0.2945084629,0.2462455381,0.1164445969,0.0377729421,0.3050284599,LAWSC,466445,34.02345227,-118.3837773,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.0234522737,-118.383777273,9,stateAssembly,34.0234522737,-118.383777273,current"
55,55,0.3171734202,0.4197799272,0.2630466525,0.3404577904,0.0247825409,0.3092056245,0.0256315844,0.2999224598,DBRYL,461696,33.95217784,-117.80811,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.9521778432,-117.80811004,9,stateAssembly,33.9521778432,-117.80811004,current"
56,56,0.4892843876,0.3256424977,0.1850731147,0.2191931262,0.0294496907,0.0177669557,0.0156113664,0.717978861,COACH,465302,33.40295271,-115.3942527,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.4029527123,-115.394252748,9,stateAssembly,33.4029527123,-115.394252748,current"
57,57,0.481194548,0.2950320542,0.2237733977,0.1817643208,0.0153420129,0.1114898732,0.0140132447,0.6773905484,LAPRW,465845,33.97317463,-118.0085943,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.9731746262,-118.008594275,9,stateAssembly,33.9731746262,-118.008594275,current"
58,58,0.5360710269,0.2344232193,0.2295057539,0.1315236472,0.0440013839,0.1377338988,0.0151049208,0.6716361493,LADNN,468258,33.94269224,-118.1119055,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.9426922351,-118.111905534,9,stateAssembly,33.9426922351,-118.111905534,current"
59,59,0.7133888128,0.0811756031,0.2054355841,0.0260486534,0.1922896674,0.0197906993,0.0118580814,0.7500128986,LAVSQ,465168,33.98903946,-118.272284,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.9890394576,-118.27228399,9,stateAssembly,33.9890394576,-118.27228399,current"
60,60,0.3638129876,0.4033514391,0.2328355734,0.3162005329,0.0517428719,0.0823390823,0.0245509657,0.5251665472,RIVJU,470287,33.91482315,-117.5299981,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.9148231474,-117.529998142,9,stateAssembly,33.9148231474,-117.529998142,current"
61,61,0.4254648703,0.3552889433,0.2192461864,0.2580492213,0.1214628183,0.0684101419,0.0293222771,0.5227555414,MTRMV,470325,33.90060503,-117.2581411,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.9006050336,-117.258141106,9,stateAssembly,33.9006050336,-117.258141106,current"
62,62,0.6124637271,0.1524302852,0.2351059877,0.2283673264,0.2480110903,0.0628073356,0.0285507367,0.432263511,LAIHG,466713,33.94410012,-118.3788847,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.9441001235,-118.378884725,9,stateAssembly,33.9441001235,-118.378884725,current"
63,63,0.5784393118,0.1946165763,0.2269441119,0.1112906129,0.0720932098,0.0599302184,0.0146589093,0.7420270496,LASGL,461153,33.90234468,-118.1646878,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.9023446788,-118.164687783,9,stateAssembly,33.9023446788,-118.164687783,current"
64,64,0.6768860235,0.1212965787,0.2018173978,0.0330338765,0.2544704117,0.0744339623,0.015651801,0.6224099485,LAWBC,466400,33.86676577,-118.249494,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.8667657668,-118.24949395,9,stateAssembly,33.8667657668,-118.24949395,current"
65,65,0.3670662195,0.3841169912,0.2488167893,0.3100647873,0.0280362289,0.2472145782,0.0261944487,0.3884899569,ANAFL,461510,33.85247425,-117.9702906,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.8524742532,-117.970290573,9,stateAssembly,33.8524742532,-117.970290573,current"
66,66,0.3846009749,0.3566548791,0.258744146,0.4632631028,0.045219083,0.2410843515,0.0402591155,0.2101743471,LAPVB,467745,33.81643547,-118.3518621,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.8164354682,-118.351862121,9,stateAssembly,33.8164354682,-118.351862121,current"
67,67,0.2938474359,0.4728907092,0.2332618549,0.5084783121,0.0470429091,0.063387997,0.0342978894,0.3467928924,MGOBN,462769,33.68671439,-117.2724105,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.6867143907,-117.272410483,9,stateAssembly,33.6867143907,-117.272410483,current"
68,68,0.2846133817,0.4656557374,0.2497308809,0.4862510339,0.0152725498,0.1853394752,0.0324109767,0.2807259644,TUSTO,463053,33.76616446,-117.7333507,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.766164459,-117.733350723,9,stateAssembly,33.766164459,-117.733350723,current"
69,69,0.5031880303,0.2862114515,0.2106005182,0.1214247491,0.0135241137,0.0921780206,0.0114760475,0.7613970691,SNANA,465317,33.77039337,-117.8892575,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.7703933725,-117.889257486,9,stateAssembly,33.7703933725,-117.889257486,current"
70,70,0.4933323009,0.2571064767,0.2495612224,0.3511656002,0.1028998066,0.1245362999,0.0343468925,0.3870514008,LALBS,468514,33.371612,-118.3696947,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.3716120034,-118.3696947,9,stateAssembly,33.3716120034,-118.3696947,current"
71,71,0.2969954284,0.4544645767,0.2485399949,0.6393952234,0.0414367985,0.034415371,0.0441346869,0.2406179202,ISAND,462584,33.14652556,-116.5486282,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.1465255636,-116.548628158,9,stateAssembly,33.1465255636,-116.548628158,current"
72,72,0.3172193293,0.4316441619,0.2511365088,0.3867381095,0.0093885724,0.3205222872,0.0266718873,0.2566791436,WESTC,469933,33.74735252,-118.0060528,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.7473525225,-118.006052801,9,stateAssembly,33.7473525225,-118.006052801,current"
73,73,0.2563226618,0.489960071,0.2537172672,0.6898445243,0.0112339813,0.0826109681,0.035816448,0.1804940783,STHOC,461101,33.58582583,-117.5914086,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.5858258265,-117.59140856,9,stateAssembly,33.5858258265,-117.59140856,current"
74,74,0.2945121708,0.4291720397,0.2763157895,0.6315646212,0.0108814923,0.1674797128,0.0356811725,0.1543930011,CSTOC,470248,33.63022906,-117.8442867,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.6302290587,-117.844286681,9,stateAssembly,33.6302290587,-117.844286681,current"
75,75,0.2598994603,0.4870675601,0.2530329795,0.5152744722,0.0231855791,0.070106627,0.0370144432,0.3544188784,MURTM,465548,33.29034871,-117.0454262,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.290348705,-117.045426246,9,stateAssembly,33.290348705,-117.045426246,current"
76,76,0.3086338767,0.4133448712,0.278021252,0.5789103061,0.0303524978,0.0607668786,0.0366325457,0.2933377718,NCSAN,468627,33.30756046,-117.3642615,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.3075604629,-117.364261461,9,stateAssembly,33.3075604629,-117.364261461,current"
77,77,0.3057201445,0.3986143523,0.2956655032,0.5752974792,0.0261536075,0.2288338297,0.0450022195,0.1247128641,RCHMM,464066,32.94540591,-117.1018287,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#32.9454059119,-117.101828727,9,stateAssembly,32.9454059119,-117.101828727,current"
78,78,0.4102096519,0.2780101946,0.3117801536,0.6463556946,0.040789374,0.0908451238,0.0375115018,0.1844983059,CNSAN,461885,32.78303783,-117.2024394,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#32.7830378343,-117.202439435,9,stateAssembly,32.7830378343,-117.202439435,current"
79,79,0.4379307098,0.2989832423,0.2630860478,0.3347419471,0.1031246784,0.1826373881,0.0411563926,0.3383395938,LMSAND,466416,32.70631278,-117.0329571,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#32.7063127798,-117.032957146,9,stateAssembly,32.7063127798,-117.032957146,current"
80,80,0.4965049965,0.2280521349,0.2754428687,0.1432387291,0.0616075695,0.0951308862,0.0229228458,0.6770999694,SSAND,464602,32.61438046,-117.0432854,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#32.6143804558,-117.043285399,9,stateAssembly,32.6143804558,-117.043285399,current"