name,year,population,enslaved_pop,free_pop,apportioned_pop
Alabama,1790,NA,NA,NA,NA
Alaska,1790,NA,NA,NA,NA
Arizona,1790,NA,NA,NA,NA
Arkansas,1790,NA,NA,NA,NA
California,1790,NA,NA,NA,NA
Colorado,1790,NA,NA,NA,NA
Connecticut,1790,237946,2764,235182,239604
Delaware,1790,59096,8887,50209,64428
District of Columbia,1790,NA,NA,NA,NA
Florida,1790,NA,NA,NA,NA
Georgia,1790,82548,29264,53284,100106
Hawaii,1790,NA,NA,NA,NA
Idaho,1790,NA,NA,NA,NA
Illinois,1790,NA,NA,NA,NA
Indiana,1790,NA,NA,NA,NA
Iowa,1790,NA,NA,NA,NA
Kansas,1790,NA,NA,NA,NA
Kentucky,1790,73677,12430,61247,81135
Louisiana,1790,NA,NA,NA,NA
Maine,1790,96540,0,96540,96540
Maryland,1790,319728,103036,216692,381550
Massachusetts,1790,378787,0,378787,378787
Michigan,1790,NA,NA,NA,NA
Minnesota,1790,NA,NA,NA,NA
Mississippi,1790,NA,NA,NA,NA
Missouri,1790,NA,NA,NA,NA
Montana,1790,NA,NA,NA,NA
Nebraska,1790,NA,NA,NA,NA
Nevada,1790,NA,NA,NA,NA
New Hampshire,1790,141885,158,141727,141980
New Jersey,1790,184139,11423,172716,190993
New Mexico,1790,NA,NA,NA,NA
New York,1790,340120,21324,318796,352914
North Carolina,1790,393751,100572,293179,454094
North Dakota,1790,NA,NA,NA,NA
Ohio,1790,NA,NA,NA,NA
Oklahoma,1790,NA,NA,NA,NA
Oregon,1790,NA,NA,NA,NA
Pennsylvania,1790,434373,3737,430636,436615
Rhode Island,1790,68825,948,67877,69394
South Carolina,1790,249073,107094,141979,313329
South Dakota,1790,NA,NA,NA,NA
Tennessee,1790,35691,3417,32274,37741
Texas,1790,NA,NA,NA,NA
Utah,1790,NA,NA,NA,NA
Vermont,1790,85425,0,85425,85425
Virginia,1790,691937,287959,403978,864712
Washington,1790,NA,NA,NA,NA
West Virginia,1790,55873,4668,51205,58674
Wisconsin,1790,NA,NA,NA,NA
Wyoming,1790,NA,NA,NA,NA
United States,1790,3929214,697681,3231533,4347823
Alabama,1800,1250,494,756,1546
Alaska,1800,NA,NA,NA,NA
Arizona,1800,NA,NA,NA,NA
Arkansas,1800,NA,NA,NA,NA
California,1800,NA,NA,NA,NA
Colorado,1800,NA,NA,NA,NA
Connecticut,1800,251002,951,250051,251573
Delaware,1800,64273,6153,58120,67965
District of Columbia,1800,8144,2072,6072,9387
Florida,1800,NA,NA,NA,NA
Georgia,1800,162686,59699,102987,198505
Hawaii,1800,NA,NA,NA,NA
Idaho,1800,NA,NA,NA,NA
Illinois,1800,2458,107,2351,2522
Indiana,1800,2632,28,2604,2649
Iowa,1800,NA,NA,NA,NA
Kansas,1800,NA,NA,NA,NA
Kentucky,1800,220959,40343,180616,245165
Louisiana,1800,NA,NA,NA,NA
Maine,1800,151719,0,151719,151719
Maryland,1800,341548,105635,235913,404929
Massachusetts,1800,422845,0,422845,422845
Michigan,1800,3757,0,3757,3757
Minnesota,1800,NA,NA,NA,NA
Mississippi,1800,7600,2995,4605,9397
Missouri,1800,NA,NA,NA,NA
Montana,1800,NA,NA,NA,NA
Nebraska,1800,NA,NA,NA,NA
Nevada,1800,NA,NA,NA,NA
New Hampshire,1800,183858,8,183850,183863
New Jersey,1800,211149,12422,198727,218602
New Mexico,1800,NA,NA,NA,NA
New York,1800,586050,20613,565437,598418
North Carolina,1800,478103,133296,344807,558081
North Dakota,1800,NA,NA,NA,NA
Ohio,1800,42159,0,42159,42159
Oklahoma,1800,NA,NA,NA,NA
Oregon,1800,NA,NA,NA,NA
Pennsylvania,1800,602545,1706,600839,603569
Rhode Island,1800,69122,380,68742,69350
South Carolina,1800,345591,146151,199440,433282
South Dakota,1800,NA,NA,NA,NA
Tennessee,1800,105602,13584,92018,113752
Texas,1800,NA,NA,NA,NA
Utah,1800,NA,NA,NA,NA
Vermont,1800,154465,0,154465,154465
Virginia,1800,807557,339499,468058,1011256
Washington,1800,NA,NA,NA,NA
West Virginia,1800,78592,7172,71420,82895
Wisconsin,1800,NA,NA,NA,NA
Wyoming,1800,NA,NA,NA,NA
United States,1800,5308483,893602,4414881,5844644
Alabama,1810,9046,2565,6481,10585
Alaska,1810,NA,NA,NA,NA
Arizona,1810,NA,NA,NA,NA
Arkansas,1810,1062,136,926,1144
California,1810,NA,NA,NA,NA
Colorado,1810,NA,NA,NA,NA
Connecticut,1810,262042,310,261732,262228
Delaware,1810,72674,4177,68497,75180
District of Columbia,1810,15471,3554,11917,17603
Florida,1810,NA,NA,NA,NA
Georgia,1810,251407,105218,146189,314538
Hawaii,1810,NA,NA,NA,NA
Idaho,1810,NA,NA,NA,NA
Illinois,1810,12282,168,12114,12383
Indiana,1810,24520,237,24283,24662
Iowa,1810,NA,NA,NA,NA
Kansas,1810,NA,NA,NA,NA
Kentucky,1810,406511,80561,325950,454848
Louisiana,1810,76556,34660,41896,97352
Maine,1810,228705,0,228705,228705
Maryland,1810,380546,111502,269044,447447
Massachusetts,1810,472040,0,472040,472040
Michigan,1810,4762,24,4738,4776
Minnesota,1810,NA,NA,NA,NA
Mississippi,1810,31306,14523,16783,40020
Missouri,1810,19783,2875,16908,21508
Montana,1810,NA,NA,NA,NA
Nebraska,1810,NA,NA,NA,NA
Nevada,1810,NA,NA,NA,NA
New Hampshire,1810,214360,0,214360,214360
New Jersey,1810,245555,10851,234704,252066
New Mexico,1810,NA,NA,NA,NA
New York,1810,959049,15017,944032,968059
North Carolina,1810,556526,168824,387702,657820
North Dakota,1810,NA,NA,NA,NA
Ohio,1810,230760,0,230760,230760
Oklahoma,1810,NA,NA,NA,NA
Oregon,1810,NA,NA,NA,NA
Pennsylvania,1810,810091,795,809296,810568
Rhode Island,1810,76931,108,76823,76996
South Carolina,1810,415115,196365,218750,532934
South Dakota,1810,NA,NA,NA,NA
Tennessee,1810,261727,44535,217192,288448
Texas,1810,NA,NA,NA,NA
Utah,1810,NA,NA,NA,NA
Vermont,1810,217713,0,217713,217713
Virginia,1810,877683,383521,494162,1107796
Washington,1810,NA,NA,NA,NA
West Virginia,1810,105469,10836,94633,111971
Wisconsin,1810,NA,NA,NA,NA
Wyoming,1810,NA,NA,NA,NA
United States,1810,7239881,1191362,6048519,7954698
Alabama,1820,127901,41879,86022,153028
Alaska,1820,NA,NA,NA,NA
Arizona,1820,NA,NA,NA,NA
Arkansas,1820,14273,1617,12656,15243
California,1820,NA,NA,NA,NA
Colorado,1820,NA,NA,NA,NA
Connecticut,1820,275202,97,275105,275260
Delaware,1820,72749,4509,68240,75454
District of Columbia,1820,23336,4520,18816,26048
Florida,1820,NA,NA,NA,NA
Georgia,1820,340989,149656,191333,430783
Hawaii,1820,NA,NA,NA,NA
Idaho,1820,NA,NA,NA,NA
Illinois,1820,55211,917,54294,55761
Indiana,1820,147178,190,146988,147292
Iowa,1820,NA,NA,NA,NA
Kansas,1820,NA,NA,NA,NA
Kentucky,1820,564317,126732,437585,640356
Louisiana,1820,153407,69064,84343,194845
Maine,1820,298335,0,298335,298335
Maryland,1820,407350,107398,299952,471789
Massachusetts,1820,523287,0,523287,523287
Michigan,1820,7452,0,7452,7452
Minnesota,1820,NA,NA,NA,NA
Mississippi,1820,75448,32814,42634,95136
Missouri,1820,66586,10222,56364,72719
Montana,1820,NA,NA,NA,NA
Nebraska,1820,NA,NA,NA,NA
Nevada,1820,NA,NA,NA,NA
New Hampshire,1820,244161,0,244161,244161
New Jersey,1820,277575,7557,270018,282109
New Mexico,1820,NA,NA,NA,NA
New York,1820,1372812,10088,1362724,1378865
North Carolina,1820,638829,204917,433912,761779
North Dakota,1820,NA,NA,NA,NA
Ohio,1820,581434,0,581434,581434
Oklahoma,1820,NA,NA,NA,NA
Oregon,1820,NA,NA,NA,NA
Pennsylvania,1820,1049458,211,1049247,1049585
Rhode Island,1820,83059,48,83011,83088
South Carolina,1820,502741,258475,244266,657826
South Dakota,1820,NA,NA,NA,NA
Tennessee,1820,422813,80107,342706,470877
Texas,1820,NA,NA,NA,NA
Utah,1820,NA,NA,NA,NA
Vermont,1820,235764,0,235764,235764
Virginia,1820,938261,411886,526375,1185393
Washington,1820,NA,NA,NA,NA
West Virginia,1820,136808,15169,121639,145909
Wisconsin,1820,1444,0,1444,1444
Wyoming,1820,NA,NA,NA,NA
United States,1820,9638453,1538022,8100431,10561266
Alabama,1830,309527,117549,191978,380056
Alaska,1830,NA,NA,NA,NA
Arizona,1830,NA,NA,NA,NA
Arkansas,1830,30388,4576,25812,33134
California,1830,NA,NA,NA,NA
Colorado,1830,NA,NA,NA,NA
Connecticut,1830,297675,25,297650,297690
Delaware,1830,76748,3292,73456,78723
District of Columbia,1830,30261,4505,25756,32964
Florida,1830,34730,15501,19229,44031
Georgia,1830,516823,217531,299292,647342
Hawaii,1830,NA,NA,NA,NA
Idaho,1830,NA,NA,NA,NA
Illinois,1830,157445,747,156698,157893
Indiana,1830,343031,3,343028,343033
Iowa,1830,NA,NA,NA,NA
Kansas,1830,NA,NA,NA,NA
Kentucky,1830,687917,165213,522704,787045
Louisiana,1830,215739,109588,106151,281492
Maine,1830,399455,2,399453,399456
Maryland,1830,447040,102994,344046,508836
Massachusetts,1830,610408,1,610407,610409
Michigan,1830,28004,1,28003,28005
Minnesota,1830,NA,NA,NA,NA
Mississippi,1830,136621,65659,70962,176016
Missouri,1830,140455,25091,115364,155510
Montana,1830,NA,NA,NA,NA
Nebraska,1830,NA,NA,NA,NA
Nevada,1830,NA,NA,NA,NA
New Hampshire,1830,269328,3,269325,269330
New Jersey,1830,320823,2254,318569,322175
New Mexico,1830,NA,NA,NA,NA
New York,1830,1918608,75,1918533,1918653
North Carolina,1830,737987,245601,492386,885348
North Dakota,1830,NA,NA,NA,NA
Ohio,1830,937903,6,937897,937907
Oklahoma,1830,NA,NA,NA,NA
Oregon,1830,NA,NA,NA,NA
Pennsylvania,1830,1348233,403,1347830,1348475
Rhode Island,1830,97199,17,97182,97209
South Carolina,1830,581185,315401,265784,770426
South Dakota,1830,NA,NA,NA,NA
Tennessee,1830,681904,141603,540301,766866
Texas,1830,NA,NA,NA,NA
Utah,1830,NA,NA,NA,NA
Vermont,1830,280652,0,280652,280652
Virginia,1830,1044054,453698,590356,1316273
Washington,1830,NA,NA,NA,NA
West Virginia,1830,176924,17673,159251,187528
Wisconsin,1830,3635,31,3604,3654
Wyoming,1830,NA,NA,NA,NA
United States,1830,12860702,2009043,10851659,14066128
Alabama,1840,590756,253532,337224,742875
Alaska,1840,NA,NA,NA,NA
Arizona,1840,NA,NA,NA,NA
Arkansas,1840,97574,19935,77639,109535
California,1840,NA,NA,NA,NA
Colorado,1840,NA,NA,NA,NA
Connecticut,1840,309978,17,309961,309988
Delaware,1840,78085,2605,75480,79648
District of Columbia,1840,33745,3320,30425,35737
Florida,1840,54477,25717,28760,69907
Georgia,1840,691392,280944,410448,859958
Hawaii,1840,NA,NA,NA,NA
Idaho,1840,NA,NA,NA,NA
Illinois,1840,476183,331,475852,476382
Indiana,1840,685866,3,685863,685868
Iowa,1840,43112,16,43096,43122
Kansas,1840,NA,NA,NA,NA
Kentucky,1840,779828,182258,597570,889183
Louisiana,1840,352411,168452,183959,453482
Maine,1840,501793,0,501793,501793
Maryland,1840,470019,89737,380282,523861
Massachusetts,1840,737699,0,737699,737699
Michigan,1840,212267,0,212267,212267
Minnesota,1840,NA,NA,NA,NA
Mississippi,1840,375651,195211,180440,492778
Missouri,1840,383702,58240,325462,418646
Montana,1840,NA,NA,NA,NA
Nebraska,1840,NA,NA,NA,NA
Nevada,1840,NA,NA,NA,NA
New Hampshire,1840,284574,1,284573,284575
New Jersey,1840,373306,674,372632,373710
New Mexico,1840,NA,NA,NA,NA
New York,1840,2428921,4,2428917,2428923
North Carolina,1840,753419,245817,507602,900909
North Dakota,1840,NA,NA,NA,NA
Ohio,1840,1519467,3,1519464,1519469
Oklahoma,1840,NA,NA,NA,NA
Oregon,1840,NA,NA,NA,NA
Pennsylvania,1840,1724033,64,1723969,1724071
Rhode Island,1840,108830,5,108825,108833
South Carolina,1840,594398,327038,267360,790621
South Dakota,1840,NA,NA,NA,NA
Tennessee,1840,829210,183059,646151,939045
Texas,1840,NA,NA,NA,NA
Utah,1840,NA,NA,NA,NA
Vermont,1840,291948,0,291948,291948
Virginia,1840,1025227,431873,593354,1284351
Washington,1840,NA,0,NA,NA
West Virginia,1840,224537,18488,206049,235630
Wisconsin,1840,30945,11,30934,30952
Wyoming,1840,NA,NA,NA,NA
United States,1840,17063353,2487355,14575998,18555766
Alabama,1850,771623,342844,428779,977329
Alaska,1850,NA,NA,NA,NA
Arizona,1850,NA,NA,NA,NA
Arkansas,1850,209897,47100,162797,238157
California,1850,92597,0,92597,92597
Colorado,1850,NA,NA,NA,NA
Connecticut,1850,370792,0,370792,370792
Delaware,1850,91532,2290,89242,92906
District of Columbia,1850,51687,3687,48000,53899
Florida,1850,87445,39310,48135,111031
Georgia,1850,906185,381682,524503,1135194
Hawaii,1850,NA,NA,NA,NA
Idaho,1850,NA,NA,NA,NA
Illinois,1850,851470,0,851470,851470
Indiana,1850,988416,0,988416,988416
Iowa,1850,192214,0,192214,192214
Kansas,1850,NA,NA,NA,NA
Kentucky,1850,982405,210981,771424,1108994
Louisiana,1850,517762,244809,272953,664647
Maine,1850,583169,0,583169,583169
Maryland,1850,583034,90368,492666,637255
Massachusetts,1850,994514,0,994514,994514
Michigan,1850,397654,0,397654,397654
Minnesota,1850,6077,0,6077,6077
Mississippi,1850,606526,309878,296648,792453
Missouri,1850,682044,87422,594622,734497
Montana,1850,NA,NA,NA,NA
Nebraska,1850,NA,NA,NA,NA
Nevada,1850,NA,NA,NA,NA
New Hampshire,1850,317976,0,317976,317976
New Jersey,1850,489555,236,489319,489697
New Mexico,1850,61547,0,61547,61547
New York,1850,3097394,0,3097394,3097394
North Carolina,1850,869039,288548,580491,1042168
North Dakota,1850,NA,NA,NA,NA
Ohio,1850,1980329,0,1980329,1980329
Oklahoma,1850,NA,NA,NA,NA
Oregon,1850,12093,0,12093,12093
Pennsylvania,1850,2311786,0,2311786,2311786
Rhode Island,1850,147545,0,147545,147545
South Carolina,1850,668507,384984,283523,899497
South Dakota,1850,NA,NA,NA,NA
Tennessee,1850,1002717,239459,763258,1146392
Texas,1850,212592,58161,154431,247489
Utah,1850,11380,NA,NA,11380
Vermont,1850,314120,0,314120,314120
Virginia,1850,1119348,452028,667320,1390565
Washington,1850,1201,0,1201,1201
West Virginia,1850,302313,20500,281813,314613
Wisconsin,1850,305391,0,305391,305391
Wyoming,1850,NA,NA,NA,NA
United States,1850,23191876,3204313,19987563,25114464
Alabama,1860,964201,435080,529121,1225249
Alaska,1860,NA,NA,NA,NA
Arizona,1860,NA,NA,NA,NA
Arkansas,1860,435450,111115,324335,502119
California,1860,379994,0,379994,379994
Colorado,1860,34277,0,34277,34277
Connecticut,1860,460147,0,460147,460147
Delaware,1860,112216,1798,110418,113295
District of Columbia,1860,75080,3185,71895,76991
Florida,1860,140424,61745,78679,177471
Georgia,1860,1057286,462198,595088,1334605
Hawaii,1860,NA,NA,NA,NA
Idaho,1860,NA,NA,NA,NA
Illinois,1860,1711951,0,1711951,1711951
Indiana,1860,1350428,0,1350428,1350428
Iowa,1860,674913,0,674913,674913
Kansas,1860,107206,2,107204,107207
Kentucky,1860,1155684,225483,930201,1290974
Louisiana,1860,708002,331726,376276,907038
Maine,1860,628279,0,628279,628279
Maryland,1860,687049,87189,599860,739362
Massachusetts,1860,1231066,0,1231066,1231066
Michigan,1860,749113,0,749113,749113
Minnesota,1860,172023,0,172023,172023
Mississippi,1860,791305,436631,354674,1053284
Missouri,1860,1182012,114931,1067081,1250971
Montana,1860,NA,NA,NA,NA
Nebraska,1860,28841,15,28826,28850
Nevada,1860,6857,0,6857,6857
New Hampshire,1860,326073,0,326073,326073
New Jersey,1860,672035,18,672017,672046
New Mexico,1860,87034,0,87034,87034
New York,1860,3880735,0,3880735,3880735
North Carolina,1860,992622,331059,661563,1191257
North Dakota,1860,NA,NA,NA,NA
Ohio,1860,2339511,0,2339511,2339511
Oklahoma,1860,NA,NA,NA,NA
Oregon,1860,52465,0,52465,52465
Pennsylvania,1860,2906215,0,2906215,2906215
Rhode Island,1860,174620,0,174620,174620
South Carolina,1860,703708,402406,301302,945152
South Dakota,1860,4837,NA,NA,4837
Tennessee,1860,1109801,275719,834082,1275232
Texas,1860,604215,182566,421649,713755
Utah,1860,40273,NA,NA,40273
Vermont,1860,315098,0,315098,315098
Virginia,1860,1219630,472494,747136,1503126
Washington,1860,11594,0,11594,11594
West Virginia,1860,376688,18371,358317,387711
Wisconsin,1860,775881,0,775881,775881
Wyoming,1860,NA,NA,NA,NA
United States,1860,31443321,3953760,27489561,33815577
Alabama,1870,996992,NA,NA,996992
Alaska,1870,NA,NA,NA,NA
Arizona,1870,9658,NA,NA,9658
Arkansas,1870,484471,NA,NA,484471
California,1870,560247,NA,NA,560247
Colorado,1870,39864,NA,NA,39864
Connecticut,1870,537454,NA,NA,537454
Delaware,1870,125015,NA,NA,125015
District of Columbia,1870,131700,NA,NA,131700
Florida,1870,187748,NA,NA,187748
Georgia,1870,1184109,NA,NA,1184109
Hawaii,1870,NA,NA,NA,NA
Idaho,1870,14999,NA,NA,14999
Illinois,1870,2539891,NA,NA,2539891
Indiana,1870,1680637,NA,NA,1680637
Iowa,1870,1194020,NA,NA,1194020
Kansas,1870,364399,NA,NA,364399
Kentucky,1870,1321011,NA,NA,1321011
Louisiana,1870,726915,NA,NA,726915
Maine,1870,626915,NA,NA,626915
Maryland,1870,780894,NA,NA,780894
Massachusetts,1870,1457351,NA,NA,1457351
Michigan,1870,1184059,NA,NA,1184059
Minnesota,1870,439706,NA,NA,439706
Mississippi,1870,827922,NA,NA,827922
Missouri,1870,1721295,NA,NA,1721295
Montana,1870,20595,NA,NA,20595
Nebraska,1870,122993,NA,NA,122993
Nevada,1870,42491,NA,NA,42491
New Hampshire,1870,318300,NA,NA,318300
New Jersey,1870,906096,NA,NA,906096
New Mexico,1870,91874,NA,NA,91874
New York,1870,4382759,NA,NA,4382759
North Carolina,1870,1071361,NA,NA,1071361
North Dakota,1870,2405,NA,NA,2405
Ohio,1870,2665260,NA,NA,2665260
Oklahoma,1870,NA,NA,NA,NA
Oregon,1870,90923,NA,NA,90923
Pennsylvania,1870,3521951,NA,NA,3521951
Rhode Island,1870,217353,NA,NA,217353
South Carolina,1870,705606,NA,NA,705606
South Dakota,1870,11776,NA,NA,11776
Tennessee,1870,1258520,NA,NA,1258520
Texas,1870,818579,NA,NA,818579
Utah,1870,86336,NA,NA,86336
Vermont,1870,330551,NA,NA,330551
Virginia,1870,1225163,NA,NA,1225163
Washington,1870,23955,NA,NA,23955
West Virginia,1870,442014,NA,NA,442014
Wisconsin,1870,1054670,NA,NA,1054670
Wyoming,1870,9118,NA,NA,9118
United States,1870,38558371,NA,NA,38558371
Alabama,1880,1262505,NA,NA,1262505
Alaska,1880,NA,NA,NA,NA
Arizona,1880,40440,NA,NA,40440
Arkansas,1880,802525,NA,NA,802525
California,1880,864694,NA,NA,864694
Colorado,1880,194327,NA,NA,194327
Connecticut,1880,622700,NA,NA,622700
Delaware,1880,146608,NA,NA,146608
District of Columbia,1880,177624,NA,NA,177624
Florida,1880,269493,NA,NA,269493
Georgia,1880,1542180,NA,NA,1542180
Hawaii,1880,NA,NA,NA,NA
Idaho,1880,32610,NA,NA,32610
Illinois,1880,3077871,NA,NA,3077871
Indiana,1880,1978301,NA,NA,1978301
Iowa,1880,1624615,NA,NA,1624615
Kansas,1880,996096,NA,NA,996096
Kentucky,1880,1648690,NA,NA,1648690
Louisiana,1880,939946,NA,NA,939946
Maine,1880,648936,NA,NA,648936
Maryland,1880,934943,NA,NA,934943
Massachusetts,1880,1783085,NA,NA,1783085
Michigan,1880,1636937,NA,NA,1636937
Minnesota,1880,780773,NA,NA,780773
Mississippi,1880,1131597,NA,NA,1131597
Missouri,1880,2168380,NA,NA,2168380
Montana,1880,39159,NA,NA,39159
Nebraska,1880,452402,NA,NA,452402
Nevada,1880,62266,NA,NA,62266
New Hampshire,1880,346991,NA,NA,346991
New Jersey,1880,1131116,NA,NA,1131116
New Mexico,1880,119565,NA,NA,119565
New York,1880,5082871,NA,NA,5082871
North Carolina,1880,1399750,NA,NA,1399750
North Dakota,1880,36909,NA,NA,36909
Ohio,1880,3198062,NA,NA,3198062
Oklahoma,1880,NA,NA,NA,NA
Oregon,1880,174768,NA,NA,174768
Pennsylvania,1880,4282891,NA,NA,4282891
Rhode Island,1880,276531,NA,NA,276531
South Carolina,1880,995577,NA,NA,995577
South Dakota,1880,98268,NA,NA,98268
Tennessee,1880,1542359,NA,NA,1542359
Texas,1880,1591749,NA,NA,1591749
Utah,1880,143963,NA,NA,143963
Vermont,1880,332286,NA,NA,332286
Virginia,1880,1512565,NA,NA,1512565
Washington,1880,75116,NA,NA,75116
West Virginia,1880,618457,NA,NA,618457
Wisconsin,1880,1315497,NA,NA,1315497
Wyoming,1880,20789,NA,NA,20789
United States,1880,50155783,NA,NA,50155783
Alabama,1890,1513017,NA,NA,1513017
Alaska,1890,33426,NA,NA,33426
Arizona,1890,88243,NA,NA,88243
Arkansas,1890,1128211,NA,NA,1128211
California,1890,1213398,NA,NA,1213398
Colorado,1890,413249,NA,NA,413249
Connecticut,1890,746258,NA,NA,746258
Delaware,1890,168493,NA,NA,168493
District of Columbia,1890,230392,NA,NA,230392
Florida,1890,391422,NA,NA,391422
Georgia,1890,1837353,NA,NA,1837353
Hawaii,1890,NA,NA,NA,NA
Idaho,1890,88548,NA,NA,88548
Illinois,1890,3826351,NA,NA,3826351
Indiana,1890,2192404,NA,NA,2192404
Iowa,1890,1912297,NA,NA,1912297
Kansas,1890,1428108,NA,NA,1428108
Kentucky,1890,1858635,NA,NA,1858635
Louisiana,1890,1118587,NA,NA,1118587
Maine,1890,661086,NA,NA,661086
Maryland,1890,1042390,NA,NA,1042390
Massachusetts,1890,2238943,NA,NA,2238943
Michigan,1890,2093889,NA,NA,2093889
Minnesota,1890,1310283,NA,NA,1310283
Mississippi,1890,1289600,NA,NA,1289600
Missouri,1890,2679184,NA,NA,2679184
Montana,1890,142924,NA,NA,142924
Nebraska,1890,1062656,NA,NA,1062656
Nevada,1890,47355,NA,NA,47355
New Hampshire,1890,376530,NA,NA,376530
New Jersey,1890,1444933,NA,NA,1444933
New Mexico,1890,160282,NA,NA,160282
New York,1890,6003174,NA,NA,6003174
North Carolina,1890,1617947,NA,NA,1617947
North Dakota,1890,190983,NA,NA,190983
Ohio,1890,3672316,NA,NA,3672316
Oklahoma,1890,258657,NA,NA,258657
Oregon,1890,317704,NA,NA,317704
Pennsylvania,1890,5258014,NA,NA,5258014
Rhode Island,1890,345506,NA,NA,345506
South Carolina,1890,1151149,NA,NA,1151149
South Dakota,1890,348600,NA,NA,348600
Tennessee,1890,1767518,NA,NA,1767518
Texas,1890,2235523,NA,NA,2235523
Utah,1890,210779,NA,NA,210779
Vermont,1890,332422,NA,NA,332422
Virginia,1890,1655980,NA,NA,1655980
Washington,1890,357232,NA,NA,357232
West Virginia,1890,762794,NA,NA,762794
Wisconsin,1890,1693330,NA,NA,1693330
Wyoming,1890,60705,NA,NA,60705
United States,1890,NA,NA,NA,NA
Alabama,1900,1828697,NA,NA,1828697
Alaska,1900,32052,NA,NA,32052
Arizona,1900,122931,NA,NA,122931
Arkansas,1900,1311564,NA,NA,1311564
California,1900,1485053,NA,NA,1485053
Colorado,1900,539700,NA,NA,539700
Connecticut,1900,908420,NA,NA,908420
Delaware,1900,184735,NA,NA,184735
District of Columbia,1900,278718,NA,NA,278718
Florida,1900,528542,NA,NA,528542
Georgia,1900,2216331,NA,NA,2216331
Hawaii,1900,154001,NA,NA,154001
Idaho,1900,161772,NA,NA,161772
Illinois,1900,4821550,NA,NA,4821550
Indiana,1900,2516462,NA,NA,2516462
Iowa,1900,2231853,NA,NA,2231853
Kansas,1900,1470495,NA,NA,1470495
Kentucky,1900,2147174,NA,NA,2147174
Louisiana,1900,1381625,NA,NA,1381625
Maine,1900,694466,NA,NA,694466
Maryland,1900,1188044,NA,NA,1188044
Massachusetts,1900,2805346,NA,NA,2805346
Michigan,1900,2420982,NA,NA,2420982
Minnesota,1900,1751394,NA,NA,1751394
Mississippi,1900,1551270,NA,NA,1551270
Missouri,1900,3106665,NA,NA,3106665
Montana,1900,243329,NA,NA,243329
Nebraska,1900,1066300,NA,NA,1066300
Nevada,1900,42335,NA,NA,42335
New Hampshire,1900,411588,NA,NA,411588
New Jersey,1900,1883669,NA,NA,1883669
New Mexico,1900,195310,NA,NA,195310
New York,1900,7268894,NA,NA,7268894
North Carolina,1900,1893810,NA,NA,1893810
North Dakota,1900,319146,NA,NA,319146
Ohio,1900,4157545,NA,NA,4157545
Oklahoma,1900,790391,NA,NA,790391
Oregon,1900,413536,NA,NA,413536
Pennsylvania,1900,6302115,NA,NA,6302115
